objid,folder,RA,DEC,Z,PLATEID,MJD,FIBERID,SpecFile,centroid_x,centroid_y,semimajor_sigma,semiminor_sigma,ellipticity,orientation_rad,area_px,bkg_median,bkg_std,u_flux,u_mag,u_calib,g_flux,g_mag,g_calib,r_flux,r_mag,r_calib,i_flux,i_mag,i_calib,z_flux,z_mag,z_calib,u_g,g_r,r_i,i_z
1,galaxy_1,256.41353,23.366974,,1688,53462,280,Galaxies Spectrography and Analysis 2\data\galaxy_1\spectrum.fits,1879.7727323286363,1024.9497611412512,4.552971301248912,3.9884849519284526,0.1239819695691069,6.740510756868221,1920.0,0.00457000732421875,0.04720608744576813,11151.61866164096,11151.61866164096,uncal,11088.539544142677,11088.539544142677,uncal,12081.555389678395,12081.555389678395,uncal,16252.62673491939,16252.62673491939,uncal,22874.94411606226,22874.94411606226,uncal,63.07911749828236,-993.0158455357177,-4171.071345240995,-6622.31738114287
10,galaxy_10,198.01484,41.718007,,1460,53138,200,Galaxies Spectrography and Analysis 2\data\galaxy_10\spectrum.fits,775.1268153895469,607.0589059192204,15.49941702641187,13.542785896595818,0.12623901444046848,3.883859648930954,13193.0,0.0007228851318359375,0.03992612005465476,19502.689539817038,19502.689539817038,uncal,54420.74282679268,54420.74282679268,uncal,86849.3921464968,86849.3921464968,uncal,192429.63424087348,192429.63424087348,uncal,234221.78877901816,234221.78877901816,uncal,-34918.05328697564,-32428.64931970412,-105580.24209437668,-41792.15453814468
11,galaxy_11,203.86816,32.678267,,2109,53468,55,Galaxies Spectrography and Analysis 2\data\galaxy_11\spectrum.fits,1338.3847918958259,1424.4393360047948,5.128895777955724,4.879192996814834,0.04868548552187901,5.525160066973193,2117.0,0.0005044937133789062,0.0392565231355437,6702.700312517296,6702.700312517296,uncal,8414.931632239422,8414.931632239422,uncal,8443.987822389288,8443.987822389288,uncal,18187.30711281766,18187.30711281766,uncal,23349.122161290215,23349.122161290215,uncal,-1712.2313197221265,-29.05619014986587,-9743.319290428371,-5161.815048472556
12,galaxy_12,222.71993,62.438953,,609,52339,89,Galaxies Spectrography and Analysis 2\data\galaxy_12\spectrum.fits,1635.662774809456,538.2727057450355,5.377857563208692,4.675827678380235,0.13054081045790877,17.084297336492032,2121.0,0.000934600830078125,0.038358521733843465,6707.107236745316,6707.107236745316,uncal,8496.6195631451,8496.6195631451,uncal,9502.966714109525,9502.966714109525,uncal,16650.642423900597,16650.642423900597,uncal,21584.91289398558,21584.91289398558,uncal,-1789.512326399783,-1006.347150964426,-7147.675709791072,-4934.270470084983
13,galaxy_13,170.5716,54.081969,,1013,52707,151,Galaxies Spectrography and Analysis 2\data\galaxy_13\spectrum.fits,116.4291499347627,195.102074013284,2.568377276027668,1.9358817864989164,0.24626268711853305,-50.6355866664595,420.0,0.003726959228515625,0.050024615342300675,2725.7950413138524,2725.7950413138524,uncal,5914.2787360882285,5914.2787360882285,uncal,11609.992885535103,11609.992885535103,uncal,27234.678440652275,27234.678440652275,uncal,40804.90049393547,40804.90049393547,uncal,-3188.483694774376,-5695.714149446874,-15624.685555117172,-13570.222053283196
14,galaxy_14,171.519519,53.270706,,6698,56637,644,Galaxies Spectrography and Analysis 2\data\galaxy_14\spectrum.fits,1051.8966887557579,1129.681578641765,2.1891965170100236,1.9864141214926219,0.0926286854294649,-32.42466716101302,394.0,0.003032684326171875,0.0498848267692522,2909.6614973577884,2909.6614973577884,uncal,429.3309550629416,429.3309550629416,uncal,593.1601132607325,593.1601132607325,uncal,19311.232422649504,19311.232422649504,uncal,449.8289657286316,449.8289657286316,uncal,2480.330542294847,-163.8291581977909,-18718.072309388772,18861.40345692087
15,galaxy_15,228.29659,38.42728,,1399,53172,629,Galaxies Spectrography and Analysis 2\data\galaxy_15\spectrum.fits,676.1703886629184,771.8485953163683,2.3700100543653733,2.122759556348755,0.10432466206681368,-0.662082888414622,462.0,0.000782012939453125,0.0434995724139337,2687.2071144738034,2687.2071144738034,uncal,2233.458244635321,2233.458244635321,uncal,3014.2739376321733,3014.2739376321733,uncal,2606.477771267232,2606.477771267232,uncal,11399.05629932729,11399.05629932729,uncal,453.7488698384823,-780.8156929968522,407.7961663649412,-8792.578528060058
2,galaxy_2,175.580997,47.664669,,7402,56810,694,Galaxies Spectrography and Analysis 2\data\galaxy_2\spectrum.fits,1684.5484068443259,795.4971335291971,33.40042147532605,18.68029577153695,0.44071676504631296,12.961187563455239,5222.0,0.0006628036499023438,0.03517651841241216,1492.2981056652543,1492.2981056652543,uncal,6161.339441006927,6161.339441006927,uncal,10274.807788733378,10274.807788733378,uncal,13004.276182785172,13004.276182785172,uncal,11954.754791979141,11954.754791979141,uncal,-4669.0413353416725,-4113.468347726452,-2729.4683940517934,1049.5213908060305
3,galaxy_3,232.74431,0.010497,,314,51641,35,Galaxies Spectrography and Analysis 2\data\galaxy_3\spectrum.fits,1590.2425384591265,1351.543498752507,7.169607948131781,6.759091341259347,0.05725788771747342,16.253545917366072,3574.0,-0.0004496574401855469,0.03566127953937094,7230.820908699979,7230.820908699979,uncal,12077.161691576162,12077.161691576162,uncal,15057.177372061624,15057.177372061624,uncal,24457.546671369455,24457.546671369455,uncal,44841.59262076796,44841.59262076796,uncal,-4846.340782876184,-2980.0156804854614,-9400.369299307831,-20384.045949398504
4,galaxy_4,174.6768,39.899248,,1972,53466,323,Galaxies Spectrography and Analysis 2\data\galaxy_4\spectrum.fits,903.1131495178283,211.7553950609336,5.123932451869257,4.6651623803656035,0.08953476178950992,-17.168080152767672,2071.0,0.001354217529296875,0.034037328648625576,4404.337074801613,4404.337074801613,uncal,19538.442514666105,19538.442514666105,uncal,38657.64685469452,38657.64685469452,uncal,135984.69424997503,135984.69424997503,uncal,146358.88823496524,146358.88823496524,uncal,-15134.105439864492,-19119.204340028413,-97327.0473952805,-10374.193984990212
5,galaxy_5,222.71993,62.438953,,609,52339,132,Galaxies Spectrography and Analysis 2\data\galaxy_5\spectrum.fits,1041.4202530991693,1240.0606301455446,7.136500375319015,6.633589085518335,0.07047029543219197,19.88185686817416,4082.0,0.002094268798828125,0.03836950579799948,11491.063182968239,11491.063182968239,uncal,16356.662683245657,16356.662683245657,uncal,17937.78781874272,17937.78781874272,uncal,231247.8483734225,231247.8483734225,uncal,39866.069546212144,39866.069546212144,uncal,-4865.599500277418,-1581.1251354970627,-213310.06055467977,191381.77882721034
6,galaxy_6,171.598592,41.580244,,8368,57431,214,Galaxies Spectrography and Analysis 2\data\galaxy_6\spectrum.fits,184.44481580831845,89.65005654561091,1.9449015512280732,1.8838461804146782,0.03139252512541968,-58.980201270370266,277.0,0.0004153251647949219,0.04435399028157675,1423.479210603325,1423.479210603325,uncal,360.4655826806139,360.4655826806139,uncal,389.09433058452873,389.09433058452873,uncal,2940.3051530623006,2940.3051530623006,uncal,11078.627540334803,11078.627540334803,uncal,1063.0136279227113,-28.628747903914814,-2551.210822477772,-8138.322387272502
7,galaxy_7,172.40001,49.275799,,966,52642,575,Galaxies Spectrography and Analysis 2\data\galaxy_7\spectrum.fits,1102.777225460718,753.2428066719635,2.8910946394079695,2.5512402920927237,0.11755213498816497,-25.310143924442567,737.0,-0.0010814666748046875,0.04635407980380998,5333.851834354558,5333.851834354558,uncal,3391.0348932120637,3391.0348932120637,uncal,4766.868962628647,4766.868962628647,uncal,3720.3672829111924,3720.3672829111924,uncal,16170.5605806121,16170.5605806121,uncal,1942.8169411424947,-1375.8340694165831,1046.5016797174544,-12450.193297700907
8,galaxy_8,149.90681,57.644122,,558,52317,581,Galaxies Spectrography and Analysis 2\data\galaxy_8\spectrum.fits,1994.1871881250754,551.5152823711676,2.183796220761119,2.13320631722082,0.02316603676631812,72.09659785646761,688.0,-0.00226593017578125,0.035620231684461566,5117.599273198042,5117.599273198042,uncal,3865.14112845212,3865.14112845212,uncal,5369.172910404268,5369.172910404268,uncal,7786.186613820277,7786.186613820277,uncal,17618.75204472706,17618.75204472706,uncal,1252.4581447459223,-1504.0317819521479,-2417.013703416009,-9832.565430906785
9,galaxy_9,177.42284,12.437765,,1609,53142,40,Galaxies Spectrography and Analysis 2\data\galaxy_9\spectrum.fits,561.5940321489884,1189.0841744003517,6.808316372187732,6.561979396005568,0.036181775745390055,-22.257347555330153,4142.0,0.0008106231689453125,0.04476722171465449,12614.945557835323,12614.945557835323,uncal,25947.013032042694,25947.013032042694,uncal,42749.615524715686,42749.615524715686,uncal,85903.57126704807,85903.57126704807,uncal,136642.08776169072,136642.08776169072,uncal,-13332.067474207372,-16802.60249267299,-43153.955742332386,-50738.51649464265
